overall_rank,best_source,composite_score,integrated_score,admet_tier_score,patent_risk_level,gnina_cnn_affinity,vina_top_affinity,mw
1,varD_full,0.7221909450293944,0.7510245332382913,3,Low,5.6990418434,-7.527,388.4270000000002
2,varD_full,0.7252713193606982,0.7108085080053937,3,Medium,5.5321688652,-6.981,417.5090000000002
3,varD_full,0.722034580673641,0.705686703501287,3,Low,5.2554421425,-6.224,378.45100000000014
4,varD_full,0.7256309081232497,0.7043651892327027,3,Medium,5.7130856514,-6.151,391.4710000000001
5,varD_full,0.7240200085905084,0.7035561469607963,3,Low,5.5220088959,-6.835,387.4390000000002
6,varD_full,0.7228101801736336,0.7026626331926409,3,Low,5.4172058105,-7.283,373.41200000000015
7,varB_s2,0.7114264104803953,0.7017388010953383,3,Low-Medium,5.5831661224,-6.472,370.38400000000007
8,varD_full,0.7221111416450778,0.6993424346334756,2,Low,6.1543250084,-6.891,374.4440000000002
9,varD_full,0.7234633551347764,0.69073372689365,3,Low,5.7935976982,-6.475,361.4490000000002
10,varD_full,0.7227421873297207,0.6866775295671269,2,Low,5.8871760368,-6.322,407.4930000000001
11,varD_full,0.7216587325266686,0.6836535542541817,2,Low,6.3072724342,-5.714,390.48700000000025
12,varD_full,0.7224135374499315,0.6827506562421753,2,Medium,6.063097477,-5.955,360.4610000000002
13,varD_full,0.7220420310022315,0.682218405797214,3,Medium,5.4243369102,-6.196,378.42800000000017
14,varD_full,0.7218626800810094,0.6791193860296433,3,Low-Medium,5.5006585121,-6.189,362.4330000000002
15,varD_full,0.7238786557701218,0.6772383859332511,2,Low-Medium,6.0054030418,-6.549,380.4230000000001
16,varD_full,0.7233617812060682,0.6770113459279666,3,Low-Medium,5.5676817894,-6.031,376.46000000000015
17,varD_full,0.7252722195639665,0.6737147778420044,3,Low,5.3767466545,-6.616,349.4340000000001
18,varB_s2,0.7116601632848933,0.670202510718668,3,Low,5.6560473442,-5.827,409.87700000000007
19,varD_full,0.7279789678295587,0.667536693591218,2,Medium,5.5979590416,-6.505,347.41800000000006
20,varD_full,0.7232798957181826,0.6670195416666479,2,Low-Medium,5.8785839081,-6.938,417.5130000000002
21,varD_full,0.7242755897896879,0.6663985487531624,2,Low,5.8889579773,-6.479,348.40200000000004
22,varD_full,0.7268556646256543,0.6641761717351138,2,Medium,5.8396115303,-6.447,361.44500000000016
23,varD_full,0.721964458007275,0.6627258407967693,2,Low,5.8725895882,-6.079,376.4600000000002
24,varD_full,0.7221842442527644,0.6626366440453688,3,Low,5.4048733711,-6.646,361.44900000000007
25,varD_full,0.7253728261172842,0.6625727107341657,2,Medium,5.7969479561,-6.478,361.4450000000002
